Date,Open,High,Low,Close,Volume
2022-01-11,-1.52,3.27,-5.83,-1.729549974289286,-1.6051916509422453
2022-01-12,-3.58,-1.39,-4.91,-1.7251620030813437,1.431457581220364
2022-01-13,-2.79,0.78,-6.57,-1.7207788979599434,0.3261755545605207
2022-01-14,-1.82,-0.05,-4.61,-1.7164156694425574,0.0673048508841173
2022-01-17,0.12,4.58,-3.63,-1.7119582034352212,-1.292629245762588
2022-01-18,-4.07,0.11,-8.76,-1.7073851062585397,-0.2717198928935723
2022-01-19,0.71,4.26,-5.4,-1.7030064180904323,1.5660703471320938
2022-01-20,-4.16,0.36,-7.83,-1.6983916320619634,0.6303006923610952
2022-01-21,1.45,1.58,-5.46,-1.693845495164935,1.2147732144393748
2022-01-24,-0.34,3.74,-5.48,-1.6895113881940385,-1.2677009557789345
2022-01-25,-2.03,0.96,-2.85,-1.6850806764022088,-1.271536077314881
2022-01-26,-3.29,2.14,-6.57,-1.6807086757257592,1.6232136580177
2022-01-27,-2.49,2.45,-7.26,-1.676184403834227,-0.0051789461452755
2022-01-28,2.0,6.03,-4.4,-1.6718077519075618,0.4059460825082124
2022-01-31,-1.73,1.22,-6.12,-1.6674876216061283,1.0092107001126307
2022-02-01,-1.92,-0.99,-6.6,-1.6630518154247127,1.5165972793183813
2022-02-02,-1.22,3.4,-5.74,-1.658482498246343,-0.6441101940339984
2022-02-03,0.21,4.5,-3.99,-1.654034796737469,0.0488962675115731
2022-02-04,-3.32,1.85,-3.79,-1.6495343237598867,1.067121035305426
2022-02-07,-4.44,1.88,-6.6,-1.6450303871654548,-1.1269519954096898
2022-02-08,-3.35,-1.29,-3.7,-1.6407005373385242,-0.6575331194098119
2022-02-09,-3.57,3.03,-5.97,-1.6363159567248402,0.0044088576945912
2022-02-10,-1.91,-0.67,-6.63,-1.6318504866918946,-0.5355762545667063
2022-02-11,1.66,5.75,-2.08,-1.62743536450202,0.3361468705539822
2022-02-14,-3.45,0.19,-7.54,-1.6228182675703058,-1.0057621548737736
2022-02-15,0.25,4.9,-2.03,-1.6184630613316489,-1.4230233779847763
2022-02-16,-2.1,1.59,-5.82,-1.614079363514432,-1.1725899416874557
2022-02-17,-1.51,-1.11,-6.51,-1.6095885257401283,1.5794932725079074
2022-02-18,-0.43,-0.01,-6.0,-1.605179702474036,-0.5781461036157148
2022-02-21,1.03,3.66,-5.47,-1.6009730441298486,-1.0000094725698536
2022-02-22,-1.94,0.8,-2.37,-1.5963353884493274,0.4293403238774873
2022-02-23,-4.72,-1.44,-6.65,-1.591966428822008,-0.8477551475927689
2022-02-24,-1.75,-0.79,-3.28,-1.587451449509595,0.3050823861128137
2022-02-25,-0.23,2.2,-2.33,-1.5830984818588976,0.1033549933220165
2022-02-28,-1.4,-0.08,-6.26,-1.578710656230776,0.8021141371715081
2022-03-01,-1.32,2.16,-2.33,-1.5743906878732925,0.2272294189330954
2022-03-02,-3.45,3.13,-6.32,-1.569991982059853,0.377182670988612
2022-03-03,-4.41,2.45,-4.61,-1.5655846222498555,1.1392213201812245
2022-03-04,-0.14,-0.06,-1.63,-1.5611315672857191,1.5112281091680555
2022-03-07,-1.4,-1.36,-2.04,-1.556699944089629,-0.199619608017774
2022-03-08,-1.39,3.22,-6.08,-1.552363775924522,-1.214392766429275
2022-03-09,-3.37,2.31,-5.27,-1.5479456662610098,1.291475645158309
2022-03-10,-2.68,-1.11,-6.41,-1.5433515585161166,-1.30758621975278
2022-03-11,1.73,3.36,-3.06,-1.5387680432937276,-0.4581067995405826
2022-03-14,-4.57,-1.39,-6.27,-1.534262458624196,1.7141060384196372
2022-03-15,-1.34,0.53,-2.75,-1.529738352488326,-0.5309741087235702
2022-03-16,-0.77,2.16,-1.61,-1.5250894326359106,-1.595220334948784
2022-03-17,1.69,6.05,-4.27,-1.5205735286498334,-0.827812515605846
2022-03-18,-0.05,4.86,-1.74,-1.5160511110816075,-1.505094978854036
2022-03-21,-1.84,3.28,-3.41,-1.511725932196325,0.1762223025050041
2022-03-22,-5.78,0.64,-6.29,-1.507360394924961,0.3652937942271771
2022-03-23,-1.48,3.08,-6.07,-1.5028984213052887,-1.186396379216864
2022-03-24,0.24,0.8,-5.18,-1.4985056313698604,0.1087241634723419
2022-03-25,-2.83,2.8,-5.78,-1.4941298538423844,0.9106480766388002
2022-03-28,-2.74,2.81,-4.48,-1.4897437627484202,1.210938092903428
2022-03-29,-2.79,2.88,-5.5,-1.4854059917595972,0.1386381114527263
2022-03-30,-0.8,0.4,-1.78,-1.481011767902506,-0.2349027261484838
2022-03-31,-4.89,3.16,-7.2,-1.4765165642403577,-0.2632826255144895
2022-04-01,-4.45,0.56,-6.06,-1.4718912635703354,1.1096908843544346
2022-04-04,-4.02,-0.64,-6.38,-1.4673552019753415,-0.7541781821156691
2022-04-05,-2.63,1.99,-3.03,-1.462833501859621,-0.2594475039785427
2022-04-06,-3.41,-0.32,-4.58,-1.4585135871149373,-0.825511442684278
2022-04-07,-1.34,-0.91,-5.41,-1.4540380413800744,1.660414336916383
2022-04-08,-2.95,0.07,-7.21,-1.4495791279609809,-0.8876404115666148
2022-04-11,-1.0,2.46,-2.21,-1.4450882726095131,-0.4492860200079052
2022-04-12,3.91,7.81,-3.29,-1.4406555884322976,0.7564761908937422
2022-04-13,-0.7,4.29,-1.85,-1.4360422757480986,1.3758483189491368
2022-04-14,-0.64,3.11,-4.57,-1.4315726702127605,1.2128556536714012
2022-04-15,-0.11,0.71,-3.02,-1.4270943627943695,0.7380676075211979
2022-04-18,-4.53,2.67,-5.86,-1.4228047117038876,-1.3375001677331646
2022-04-19,-2.43,2.58,-4.65,-1.4183493448186726,0.3622256969984198
2022-04-20,-0.91,2.06,-2.64,-1.4137818256279553,-0.0377774792008226
2022-04-21,-2.24,-0.1,-6.17,-1.4092673211224704,-0.5006766485895912
2022-04-22,-1.81,0.21,-2.06,-1.4049949179766932,0.1160108943906406
2022-04-25,2.78,5.15,-4.61,-1.400570180201687,0.4143833498872951
2022-04-26,0.88,5.76,-4.59,-1.3959506324977322,1.1430564417171711
2022-04-27,-0.3,2.28,-3.73,-1.3914991915961754,-0.5374938153346797
2022-04-28,-1.98,-0.55,-3.04,-1.3870055077453232,-0.5739274699261735
2022-04-29,-2.02,1.4,-6.46,-1.382396040892401,1.065970498844642
2022-05-02,-0.35,1.95,-3.35,-1.3779449548088436,0.6038383537630629
2022-05-03,-4.59,3.44,-6.23,-1.3734094247435094,-0.7503430605797223
2022-05-04,-1.76,3.61,-5.95,-1.368907795178865,0.0389249515181116
2022-05-05,-2.74,2.29,-2.81,-1.3643870779308476,0.433175445413434
2022-05-06,2.38,3.84,-1.98,-1.3598883219908806,-0.950536404756141
2022-05-09,-1.24,3.12,-3.36,-1.3554723313699688,-1.1860128670632692
2022-05-10,-2.63,2.85,-6.12,-1.351047425936298,0.7948274062532094
