Date,Open,High,Low,Close,Volume
2022-01-11,-1.84,1.95,-6.08,-1.7294104523867253,1.0180314796453085
2022-01-12,-1.98,3.27,-6.32,-1.7249834074802344,-0.2874438911909538
2022-01-13,-3.46,2.35,-7.04,-1.7204750961539528,-0.6955008226156844
2022-01-14,-0.33,4.47,-3.56,-1.7157844244216616,-1.507396051775604
2022-01-17,-3.37,-0.79,-3.99,-1.711252176652358,0.1002868960932591
2022-01-18,-1.36,1.33,-2.76,-1.706735339392319,-1.2408551050273071
2022-01-19,-2.75,2.14,-5.0,-1.702323553914164,-0.1792934638772564
2022-01-20,-0.95,3.42,-2.79,-1.6976939463398186,0.6582970795735062
2022-01-21,-3.63,3.0,-7.49,-1.693111364532906,0.0251185139887035
2022-01-24,-0.43,-0.38,-4.49,-1.6886987611719455,0.6617486889558584
2022-01-25,-2.76,1.94,-3.73,-1.684065951540866,1.03950816024661
2022-01-26,-5.06,1.02,-10.01,-1.679586346815587,1.4402783607530416
2022-01-27,2.5,2.71,-2.86,-1.675196498302382,-1.4655932270337848
2022-01-28,0.09,3.61,-2.98,-1.6707850519447265,0.9647232902956488
2022-01-31,1.39,5.34,-3.25,-1.6662417822996394,0.4972219750637442
2022-02-01,-0.55,2.86,-4.26,-1.6618513192816482,0.3119856048775178
2022-02-02,-5.0,2.03,-8.65,-1.657484932415286,-1.069425172370489
2022-02-03,-3.07,1.56,-6.87,-1.6530592301706852,1.2485222839557055
2022-02-04,-1.59,1.28,-3.68,-1.6486201902859905,-0.5175511833477567
2022-02-07,-1.68,0.14,-2.28,-1.6442154231238837,0.9835153858217878
2022-02-08,-1.78,-1.43,-5.46,-1.6397910666347193,0.0205163681455674
2022-02-09,-3.32,-1.02,-4.55,-1.6352442938466227,0.4093976918905644
2022-02-10,0.49,5.31,-1.83,-1.630756495934124,-1.3470879715730313
2022-02-11,-2.3,0.73,-2.42,-1.6263376487529044,-1.17949316045216
2022-02-14,0.89,4.06,-3.86,-1.6219109618744132,1.6097907326418863
2022-02-15,-4.35,1.24,-7.41,-1.6174578256937802,-0.325795106550421
2022-02-16,-8.1,1.46,-8.26,-1.6129995779281072,-0.5796801522300935
2022-02-17,-3.35,-1.29,-7.14,-1.6085409526154122,1.0698056203805888
2022-02-18,-5.86,0.76,-7.25,-1.6039974555915535,-1.1123785335730922
2022-02-21,0.44,3.08,-5.84,-1.5995149676896323,0.5800606002401932
2022-02-22,-2.41,1.37,-3.74,-1.5950298527097715,-1.6987686164193452
2022-02-23,-1.29,-0.15,-3.18,-1.5904375510419706,0.7564761908937422
2022-02-24,-5.5,1.66,-7.8,-1.5858050772979462,0.2582939033742638
2022-02-25,-0.11,4.13,-5.47,-1.5814501075995868,0.5919494770016281
2022-02-28,1.35,4.79,-1.83,-1.5771262079137944,-0.068841963641991
2022-03-01,-2.43,-1.22,-3.77,-1.572692516335779,-0.6490958520307291
2022-03-02,0.6,3.22,-2.47,-1.568157691838438,-0.8914755331025616
2022-03-03,-0.76,0.74,-3.96,-1.5636592242641836,0.973927581981921
2022-03-04,-4.59,-0.77,-7.69,-1.5591002026259402,0.3376809191683608
2022-03-07,-2.51,1.38,-2.53,-1.554670347081203,-0.095687814393618
2022-03-08,-0.74,2.77,-6.08,-1.5503801840110485,1.199432728295588
2022-03-09,-1.51,1.43,-5.74,-1.546037341894243,1.5794932725079074
2022-03-10,-2.18,0.29,-2.81,-1.5415220195587631,-0.1083437154622421
2022-03-11,-5.6,3.42,-8.37,-1.5369623144434066,0.3576235511552837
2022-03-14,-0.53,2.65,-5.54,-1.5326676945186857,0.0074769549233486
2022-03-15,1.26,3.75,-5.89,-1.5280768330306664,0.1647169378971639
2022-03-16,-7.2,-1.49,-8.68,-1.5235704495486933,1.0314544050211216
2022-03-17,-1.22,2.31,-5.92,-1.5191118452961887,-0.4669275790732601
2022-03-18,-1.51,2.1,-2.3,-1.514702926465323,-0.5716263970046055
2022-03-21,0.66,4.4,-3.01,-1.5100959463978854,1.2174577995145377
2022-03-22,-0.87,2.25,-5.31,-1.5055509528518307,-0.8650131945045292
2022-03-23,0.11,2.18,-1.84,-1.5010422305750648,0.3438171136258756
2022-03-24,-1.37,2.42,-5.89,-1.4966426504554209,-0.5980887356026378
2022-03-25,-0.42,1.17,-1.58,-1.4920336147379396,1.235482870733487
2022-03-28,-0.1,1.77,-2.49,-1.4875660116497214,0.7906087725636679
2022-03-29,-1.43,0.72,-6.15,-1.4830744172370411,0.4354765183350021
2022-03-30,-0.35,2.54,-4.13,-1.4786030003945416,-0.0630892813380709
2022-03-31,0.61,4.01,-3.15,-1.474206469614725,0.6214799128284177
2022-04-01,-1.69,3.23,-6.68,-1.4697130264213083,-0.6506299006451077
2022-04-04,0.78,2.64,-5.68,-1.4651858985071886,-0.6410420968052409
2022-04-05,2.15,6.59,-3.46,-1.4607604403071732,-0.4404652404752278
2022-04-06,-3.34,0.78,-5.78,-1.4562746449683617,-0.8826547535698841
2022-04-07,-2.81,2.36,-5.42,-1.4518045283003047,-1.4122850376841256
2022-04-08,-2.7,0.05,-5.84,-1.447257916239829,-0.6264686349686435
2022-04-11,-2.03,3.0,-4.61,-1.4428197182595035,-1.3616614334096289
2022-04-12,-1.46,-0.02,-4.21,-1.438334593163349,0.1298173319200488
