Date,Open,High,Low,Close,Volume
2022-01-11,0.39,1.76,-6.07,-1.7295109456278337,0.3388314556291448
2022-01-12,-1.68,3.01,-4.25,-1.7249799370159589,1.3083501799164745
2022-01-13,-1.86,0.84,-5.11,-1.7204107250249856,0.9091140280244214
2022-01-14,-5.17,0.86,-8.91,-1.7158360197892992,-1.3102708048279428
2022-01-17,0.35,2.81,-6.24,-1.7113694049021306,0.8358632066878392
2022-01-18,-0.31,1.03,-4.24,-1.7069372783349253,-0.2805406724262497
2022-01-19,-0.56,3.32,-5.4,-1.7024805721905052,0.0251185139887035
2022-01-20,-2.28,-0.14,-6.57,-1.697966438185165,-0.670189020478436
2022-01-21,0.67,1.62,-2.59,-1.6934768064502583,-1.0000094725698536
2022-01-24,0.23,0.79,-4.61,-1.6891752555914574,0.092233140867771
2022-01-25,-3.97,3.05,-6.68,-1.6847209445508355,-0.9628087936711704
2022-01-26,-4.17,-0.37,-5.38,-1.6801297937913486,-1.5959873592559732
2022-01-27,-1.72,0.48,-5.25,-1.67566501819772,-0.2924295491876845
2022-01-28,-1.98,2.86,-2.72,-1.6710014786975,0.3879210112892628
2022-01-31,0.49,1.63,-6.17,-1.6666224045040798,-1.19099852506
2022-02-01,3.57,6.19,-1.88,-1.6621263886051758,0.3691289157631239
2022-02-02,-2.67,-0.65,-4.54,-1.6577494846768264,1.6105577569490757
2022-02-03,-3.46,-1.47,-4.99,-1.653360992944514,-1.5453637549814765
2022-02-04,-0.59,3.23,-6.59,-1.648971670876478,1.5587836162137951
2022-02-07,-3.0,-0.18,-5.24,-1.6443094583976228,1.0356730387106632
2022-02-08,1.28,1.41,-1.97,-1.6398670815293832,-0.973930646125416
2022-02-09,-4.63,1.28,-8.17,-1.6354649328342337,-0.8101709565404911
2022-02-10,0.08,2.68,-5.42,-1.63100028186917,1.3068161313020958
2022-02-11,-0.71,3.72,-5.94,-1.6265552502022371,-1.6232167221611948
2022-02-14,-1.91,-0.46,-3.49,-1.6220178965431749,-0.3745011500569442
2022-02-15,-3.09,1.57,-7.39,-1.6177351061897025,1.6412387292366497
2022-02-16,-2.53,0.64,-5.41,-1.613355458388561,1.6857261390536311
2022-02-17,-0.39,2.75,-6.3,-1.6088149744680549,1.6703856529098444
2022-02-18,0.97,1.9,-1.95,-1.6043937151600682,-1.5346254146808258
2022-02-21,1.82,6.16,-4.69,-1.5999962378907344,-0.6594506801777852
2022-02-22,0.4,3.39,-5.84,-1.59560275671643,1.3378806157432643
2022-02-23,-1.19,3.11,-2.0,-1.5910732439903792,0.5601179682532703
2022-02-24,-3.13,0.27,-5.87,-1.5865476317643417,-0.0105481162956009
2022-02-25,-2.88,-1.07,-7.14,-1.5819972255481696,-1.193299597981568
2022-02-28,-1.16,-1.03,-5.16,-1.577636159189452,-0.8642461701973398
2022-03-01,1.7,3.48,-2.85,-1.57328037245789,-0.332698325315125
2022-03-02,-0.79,2.05,-6.16,-1.5687139167673176,0.4151503741944845
2022-03-03,-2.42,2.02,-3.66,-1.5642307068411914,-1.3118048534423217
2022-03-04,-3.09,3.1,-4.75,-1.5598199236955848,-1.0874502435894386
2022-03-07,-2.56,1.22,-3.74,-1.5553690648619238,0.301247264576867
2022-03-08,-2.29,2.48,-4.51,-1.5510143953135518,-1.0234037139391283
2022-03-09,0.42,3.32,-4.6,-1.546596795054952,-0.876902071265964
2022-03-10,-0.2,0.66,-3.24,-1.5421176847281817,-1.6538976944487689
2022-03-11,0.97,4.22,-3.76,-1.5376211383509473,1.1361532229524671
2022-03-14,-2.14,1.21,-3.43,-1.533164052950601,-0.1140963977661622
2022-03-15,0.16,0.69,-6.12,-1.5287161004089695,1.4824646976484557
2022-03-16,0.66,4.07,-1.78,-1.5241857293426662,-0.7422893053542343
2022-03-17,-4.45,0.28,-9.14,-1.5197298892357096,-0.2345192139948891
2022-03-18,-0.66,1.81,-4.38,-1.5153049228756603,1.5442101543771976
2022-03-21,-2.12,2.5,-4.54,-1.510908101569929,0.5639530897892171
