Date,Open,High,Low,Close,Volume
2022-01-11,-1.01,1.06,-3.05,-1.729456053983669,1.2239775061256468
2022-01-12,-1.5,2.93,-5.92,-1.7249147008534045,-0.8519737812823104
2022-01-13,0.58,5.17,-2.45,-1.7202957228753777,-0.2368202869164571
2022-01-14,-3.01,2.2,-7.25,-1.7157660230478284,-0.3196589120929062
2022-01-17,4.86,5.06,-1.91,-1.711300176653349,0.976228654903489
2022-01-18,-2.49,-0.68,-5.02,-1.7067975455510855,-1.230500276880251
2022-01-19,3.61,6.63,-5.61,-1.7023565895615784,1.7294465245634238
2022-01-20,-4.03,0.81,-6.67,-1.697782819642477,-0.3898416362007311
2022-01-21,-4.97,3.22,-5.22,-1.6934562474102042,1.583328394043854
2022-01-24,0.91,1.58,-6.04,-1.689034920465181,0.1769893268121934
2022-01-25,-5.36,2.22,-8.68,-1.6845301869194953,-1.3739338223246584
2022-01-26,1.11,5.44,-3.65,-1.6799607325166732,1.4437299701353936
2022-01-27,-2.15,0.65,-5.32,-1.6754970705509218,-1.4859193711743024
2022-01-28,-1.45,0.94,-5.41,-1.6711020388147877,-0.3077700353314714
2022-01-31,-4.43,-0.4,-4.5,-1.6666559765046258,0.0258855382958928
2022-02-01,-3.47,0.32,-6.04,-1.6622238525933248,1.6002029288020196
2022-02-02,-1.07,-0.62,-6.29,-1.65778762219286,-1.421105817216803
2022-02-03,-5.37,-0.01,-6.35,-1.6533615899293053,0.297795655194515
2022-02-04,-2.97,2.12,-6.57,-1.648935518757826,0.3879210112892628
2022-02-07,-1.09,0.74,-3.97,-1.644623855642967,-0.1723902451125523
2022-02-08,-4.07,0.73,-6.88,-1.6401321597625202,0.2594444398350478
2022-02-09,-0.49,0.82,-6.05,-1.63560701470784,0.4960714386029602
2022-02-10,-0.86,2.99,-6.2,-1.6310083184559656,1.0337554779426896
2022-02-11,0.0,0.63,-2.46,-1.626466593700426,-0.3687484677530241
2022-02-14,-0.06,4.39,-5.54,-1.6219294267864572,0.8803506165048212
2022-02-15,0.69,1.82,-5.61,-1.6174381007499032,1.1990492161419932
2022-02-16,2.72,3.38,-3.76,-1.6131306000861358,0.3445841379330649
2022-02-17,-4.38,2.06,-8.88,-1.6086406912897278,0.8412323768381647
2022-02-18,-1.34,0.95,-3.18,-1.6041657634981166,0.7534080936649848
2022-02-21,0.69,1.92,-3.41,-1.5996089052220737,1.6094072204882917
2022-02-22,-1.82,-0.5,-2.62,-1.5950933378018886,-0.2885944276517378
2022-02-23,1.28,2.37,-2.01,-1.59064004235557,-0.1854296583347711
2022-02-24,1.54,5.09,-5.4,-1.586000290765296,0.7292468279885205
2022-02-25,0.98,1.11,-5.86,-1.5814596326280217,0.894540566187824
2022-02-28,-5.56,0.32,-8.97,-1.5769643906500852,-0.955138550599277
2022-03-01,3.58,5.66,-1.7,-1.5724588393101822,-0.0515839167302307
2022-03-02,2.76,5.93,-3.93,-1.5679884830753763,1.416884119383767
2022-03-03,-0.91,3.4,-4.63,-1.5635221164680153,-0.6770922392431401
2022-03-04,3.72,4.17,-6.32,-1.559251019576682,0.9842824101289772
2022-03-07,1.74,6.27,-2.05,-1.55486784179869,-0.1125623491517835
2022-03-08,1.85,3.47,-5.86,-1.5504512526455112,-1.5883171161840797
2022-03-09,-1.78,1.45,-2.81,-1.545946119170273,0.5708563085539211
2022-03-10,-3.25,0.07,-4.38,-1.541628718169528,1.2289631641223775
2022-03-11,-4.35,-0.16,-8.59,-1.5372103645030768,0.8596409602107088
2022-03-14,-2.4,3.24,-7.38,-1.5328034544138405,1.48860089210597
2022-03-15,-4.78,1.42,-7.61,-1.528328135664053,0.7768023350342598
2022-03-16,-0.06,1.3,-5.41,-1.5238227799470987,0.7315479009100886
2022-03-17,-1.2,1.76,-5.7,-1.5194155568195529,1.3539881261942406
2022-03-18,-1.25,-0.11,-4.52,-1.515001915226441,0.7656804825800143
2022-03-21,1.01,4.52,-5.52,-1.5105977713909988,-0.562805617471928
2022-03-22,-3.69,0.82,-6.68,-1.506167716207089,1.1522607334034431
2022-03-23,1.64,5.51,-5.93,-1.5017073906074605,-0.716977503216986
2022-03-24,-0.7,4.29,-2.22,-1.497125059939899,-0.7695186682594559
2022-03-25,-1.09,3.82,-2.25,-1.4927505806856587,0.2974121430409203
2022-03-28,-0.02,0.41,-3.45,-1.4881293415370538,-0.6870635552366016
2022-03-29,-3.16,2.85,-5.59,-1.4837746260264315,0.1244481617697234
2022-03-30,1.64,4.93,-2.7,-1.479224485736889,-1.2232135459619524
2022-03-31,-0.92,-0.68,-3.36,-1.4748020804997075,1.464439626429506
2022-04-01,-1.57,2.42,-3.92,-1.4704185343166982,-0.71812803967777
2022-04-04,-0.65,2.84,-2.39,-1.4658360469757592,1.3800669526386782
2022-04-05,-0.5,1.63,-3.24,-1.4613638538358973,-1.070575708831273
2022-04-06,1.25,3.87,-4.16,-1.4568950777515244,0.7791034079558278
2022-04-07,-1.61,3.37,-5.3,-1.45245492723936,1.425704898916444
2022-04-08,-0.58,3.49,-2.98,-1.4480419578042978,1.6239806823248892
2022-04-11,0.15,4.68,-2.86,-1.4435928569659149,0.84084886468457
2022-04-12,-5.47,1.75,-5.94,-1.439416119388716,-0.4358630946320917
2022-04-13,-2.92,2.46,-6.44,-1.4351167572463206,-1.6930159341154252
2022-04-14,-3.17,1.6,-6.22,-1.430616831275645,-0.4101677803412487
2022-04-15,-2.45,0.85,-6.47,-1.4260463189975685,-0.5746944942333628
2022-04-18,-3.94,0.97,-6.55,-1.4214596635268804,0.4251216901879459
2022-04-19,-3.11,1.64,-7.22,-1.41708022864483,-0.6383575117300783
