Date,Open,High,Low,Close,Volume
2022-01-11,-1.08,-0.43,-3.11,-1.729617870246881,-0.6080600515960992
2022-01-12,-1.95,1.95,-6.47,-1.725072486443859,-0.407483195266086
2022-01-13,-4.91,1.9,-7.9,-1.720616094904467,-1.6228332100076002
2022-01-14,-4.09,3.02,-7.2,-1.7162670851895447,1.2772856954753062
2022-01-17,-3.09,2.76,-5.95,-1.711866793787561,-0.9931062538051496
2022-01-18,-0.16,4.01,-2.89,-1.707687588465939,1.3041315462269332
2022-01-19,-0.74,3.43,-4.29,-1.7032668528001556,-0.9068160192463484
2022-01-20,0.49,3.31,-5.0,-1.6987985983816682,0.8059492587074548
2022-01-21,-4.15,-1.6,-7.58,-1.6943458622261942,-0.5432464976385998
2022-01-24,-2.4,0.11,-2.97,-1.6897041458933668,0.4492829558644102
2022-01-25,-5.01,0.02,-7.22,-1.6851879152216815,-1.025321274707102
2022-01-26,-3.14,0.92,-7.87,-1.6806756542136547,1.0816944971420237
2022-01-27,1.35,3.15,-5.87,-1.676357501820216,1.5369234234588989
2022-01-28,-2.06,1.32,-3.53,-1.6719251707789302,-0.6847624823150336
2022-01-31,-3.06,0.28,-6.47,-1.6675037359292806,0.3886880355964521
2022-02-01,-2.1,-0.25,-7.05,-1.663109038500007,1.4356762149099056
2022-02-02,0.76,4.03,-6.49,-1.6587155733335222,0.065387290116144
2022-02-03,-0.68,0.02,-5.76,-1.6544121420416198,1.3984755360112224
2022-02-04,-0.5,0.94,-5.73,-1.6500611802023497,-1.414202598452099
2022-02-07,-1.62,1.17,-5.24,-1.6455182327407392,-0.1106447883838102
2022-02-08,-3.76,-1.22,-4.45,-1.6410661019214217,-1.3002994888344814
2022-02-09,-1.61,-0.34,-2.11,-1.6366464297767058,1.5116116213216504
2022-02-10,-1.17,-0.67,-6.05,-1.632182020202399,-0.6517804371058918
2022-02-11,-3.13,-1.37,-4.16,-1.6276128819229072,0.0067099306161592
2022-02-14,-2.05,2.86,-2.06,-1.623147613137532,-1.415353134912883
2022-02-15,-3.36,-1.05,-3.53,-1.6186344660913683,-0.1094942519230262
2022-02-16,-4.0,2.43,-6.61,-1.614245173293697,-0.0086305555276275
2022-02-17,0.5,1.66,-6.01,-1.6098355228270045,0.8404653525309752
2022-02-18,-3.63,2.26,-4.27,-1.6053390206552418,0.0596346078122239
2022-02-21,0.77,2.39,-4.73,-1.6007051179422416,0.5681717234787584
2022-02-22,-5.15,-1.02,-8.6,-1.5961125493179813,0.8661606668218182
2022-02-23,-0.22,0.38,-2.64,-1.5915956112261331,0.2590609276814531
2022-02-24,-3.04,1.66,-5.9,-1.5871171957211512,-1.5979049200239466
2022-02-25,-1.77,-1.27,-4.07,-1.5825271904368408,0.8258918906943777
2022-02-28,-1.78,0.11,-5.15,-1.5779913345715757,-1.6289694044651148
2022-03-01,-0.78,1.53,-5.37,-1.5737312608774383,0.4814979767663627
2022-03-02,0.57,1.09,-2.87,-1.5693604818475275,1.2922426694654985
2022-03-03,0.33,0.37,-5.98,-1.5648653938465915,-0.6782427757039241
2022-03-04,-0.02,1.38,-5.88,-1.5605600734238654,1.3271422754426134
2022-03-07,0.78,1.38,-1.56,-1.5561753334025783,-0.435479582478497
2022-03-08,-4.02,3.4,-5.5,-1.5517729325816836,-0.9041314341711856
2022-03-09,-3.71,0.33,-5.03,-1.5473309148529766,-0.2686517956648149
2022-03-10,-5.6,-0.73,-7.2,-1.5428916889594029,0.4504334923251943
2022-03-11,-5.71,1.94,-8.19,-1.5384526139987562,-1.2684679800861236
2022-03-14,0.87,2.91,-5.25,-1.533914023012121,1.088214203753133
2022-03-15,-2.44,0.81,-6.42,-1.52947281413975,1.2519738933380578
2022-03-16,-5.04,0.8,-6.18,-1.5250422679909688,-1.656965791677526
2022-03-17,-3.42,-0.57,-4.24,-1.520697853372217,1.335963054975291
