Date,Open,High,Low,Close,Volume
2022-01-11,0.32,2.53,-5.4,-1.7296277896893704,-0.8186082239195739
2022-01-12,-3.68,1.13,-6.29,-1.7251577198783776,0.4101647161977537
2022-01-13,0.32,3.94,-2.9,-1.720606502401364,0.8439169619133273
2022-01-14,-2.72,1.57,-2.89,-1.7160071006109283,1.6454573629261908
2022-01-17,-2.39,-0.07,-7.1,-1.7116804487899793,-1.0667405872953264
2022-01-18,-1.42,1.24,-4.01,-1.7072469427301828,0.9605046566061076
2022-01-19,-4.04,1.0,-4.67,-1.702689695710793,0.5973186471519535
2022-01-20,-1.31,1.52,-3.4,-1.6982419729569738,0.297795655194515
2022-01-21,-7.98,3.2,-11.02,-1.69385837850836,0.7944438940996147
2022-01-24,-2.54,3.19,-6.66,-1.689531897316754,-1.6113278453997602
2022-01-25,1.37,5.78,-4.46,-1.685151721534797,-1.154948382622101
2022-01-26,2.36,2.65,-5.25,-1.680837644037733,-0.82896305206663
2022-01-27,-3.56,3.27,-5.17,-1.6763675308493944,0.0216669046063514
2022-01-28,0.6,3.57,-3.36,-1.671822599476696,0.3326952611716301
2022-01-31,-0.93,3.11,-3.31,-1.6674703090241187,0.5597344560996756
2022-02-01,-0.44,4.14,-5.25,-1.662982401515939,-1.0341420542397797
2022-02-02,-0.6,2.0,-6.05,-1.658442027830468,0.8247413542335937
2022-02-03,-0.02,4.06,-3.68,-1.6539773768833597,-0.4807340166026683
2022-02-04,-5.93,0.85,-7.14,-1.6496563156355135,-0.6368234631156996
2022-02-07,0.37,1.15,-4.64,-1.6451569349768704,-0.1954009743282326
2022-02-08,-5.59,1.95,-8.95,-1.6406969220369805,-1.555335070974938
2022-02-09,-4.01,2.96,-7.64,-1.6362460047716494,-0.9106511407822953
2022-02-10,-2.61,0.81,-6.57,-1.631829943370332,-0.77066920472024
2022-02-11,-1.82,0.83,-2.23,-1.6273573006443582,0.5424764091879155
2022-02-14,0.31,4.95,-6.07,-1.6228468822033466,-0.2628991133608948
2022-02-15,1.03,3.69,-4.76,-1.6181685096558558,-0.6092105880568832
2022-02-16,-2.8,-1.49,-5.72,-1.6136935858481112,-0.5110314767366473
2022-02-17,-1.21,0.45,-3.99,-1.6090937513876744,-0.1643364898870642
2022-02-18,-2.27,2.35,-6.74,-1.604596911830899,-0.3177413513249328
2022-02-21,0.88,2.84,-1.84,-1.60014090670227,1.3121853014524212
2022-02-22,-6.02,0.83,-7.93,-1.5956627489316575,-1.2677009557789345
2022-02-23,0.85,3.42,-6.1,-1.5913069545750544,-0.5869668831483923
2022-02-24,-0.87,0.73,-2.21,-1.5868147491137832,1.5909986371157474
2022-02-25,-1.35,-0.3,-1.91,-1.5825277434579916,0.6276161072859325
2022-02-28,-4.28,-1.14,-5.75,-1.5781398849192176,-1.6282023801579255
2022-03-01,-0.8,3.94,-1.64,-1.5736651833716266,1.3164039351419627
2022-03-02,-3.87,-0.94,-5.58,-1.569093670519763,0.1114087485475046
2022-03-03,-1.5,2.82,-6.52,-1.564501026033627,0.248706099534397
2022-03-04,-0.14,1.52,-1.78,-1.56005725634112,0.1443907937566463
2022-03-07,0.62,1.23,-4.63,-1.5555784583234709,1.4111314370798465
2022-03-08,-3.18,0.71,-7.79,-1.551025664070622,-0.7691351561058613
2022-03-09,-2.09,2.84,-7.08,-1.5466794922011595,-1.631270477386683
2022-03-10,-1.47,0.65,-6.08,-1.5421784563218663,0.6444906420440981
2022-03-11,-0.78,0.92,-2.06,-1.5377874925849464,0.1232976253089394
2022-03-14,-2.11,3.08,-2.7,-1.533337943398137,0.3365303827075768
2022-03-15,-2.0,2.84,-6.97,-1.528914040395324,1.1768055112335023
2022-03-16,-3.5,2.69,-4.62,-1.524410271053142,-0.1858131704883658
2022-03-17,-1.74,-0.96,-6.29,-1.5198962373200715,-1.177192087530592
2022-03-18,-1.25,0.67,-2.06,-1.515351773109855,0.1091076756259366
2022-03-21,-1.01,2.04,-5.24,-1.5108557869061578,-1.2051884747430028
2022-03-22,1.63,2.9,-2.79,-1.506375565797654,0.3606916483840411
2022-03-23,-5.73,1.22,-8.53,-1.501745112652603,-1.6730733021285022
2022-03-24,1.59,3.54,-1.58,-1.4974163418543007,-1.0015435211842325
2022-03-25,1.83,1.97,-4.31,-1.492800034734463,-0.9137192380110524
2022-03-28,-1.47,-1.13,-2.11,-1.4883610224146282,-1.0226366896319392
2022-03-29,-2.7,0.35,-4.22,-1.4838451502251269,1.6316509253967828
2022-03-30,-2.36,-1.39,-3.57,-1.4794093381414672,-0.8074863714653284
2022-03-31,-1.52,0.81,-3.47,-1.475007180807776,-1.1327046777136098
2022-04-01,-0.95,-0.26,-6.13,-1.4704990163085538,1.000006408426359
2022-04-04,-2.72,0.44,-6.35,-1.465941063690135,1.6542781424588684
2022-04-05,-4.07,-1.04,-8.12,-1.4614339322990453,-0.3319313010079357
2022-04-06,1.5,4.09,-5.72,-1.4570174492815555,-0.8937766060241296
2022-04-07,1.38,4.9,-1.76,-1.4522300706691609,-0.4519706050830679
