Date,Open,High,Low,Close,Volume
2022-01-11,1.21,4.83,-1.81,-1.7295679962803734,-0.7334685258215569
2022-01-12,-0.24,4.59,-5.62,-1.724949595840252,-1.2976149037593188
2022-01-13,-1.5,2.17,-4.6,-1.7205899783159762,-0.5298235722627862
2022-01-14,-3.5,-1.11,-7.11,-1.716072350482142,-0.4753648464523429
2022-01-17,-2.55,3.06,-5.33,-1.711561863441173,1.3374971035896697
2022-01-18,-2.54,-0.66,-3.32,-1.7072686668990422,0.8623255452858716
2022-01-19,-3.1,0.77,-6.59,-1.7028587429110966,0.3254085302533313
2022-01-20,1.82,5.72,-4.22,-1.6981811880670188,1.2650133065602769
2022-01-21,-2.4,-1.6,-3.69,-1.6936963108253802,1.3804504647922728
2022-01-24,-1.32,-0.2,-2.74,-1.6891971424042396,-0.3319313010079357
2022-01-25,-1.18,0.49,-6.19,-1.684711002436342,-1.393109430004392
2022-01-26,-4.45,0.8,-6.01,-1.6800636918904837,-0.3311642767007464
2022-01-27,-0.86,3.41,-2.99,-1.675685755260684,-0.6809273607790868
2022-01-28,-1.91,-1.49,-2.36,-1.6712814474491045,0.872296861279333
2022-01-31,1.94,4.18,-4.16,-1.66682644487388,-0.2249314101550223
2022-02-01,0.88,1.67,-3.39,-1.6623119262257104,-0.569708836236632
2022-02-02,-0.05,2.97,-6.37,-1.6578333075988938,0.0205163681455674
2022-02-03,-0.85,0.48,-3.42,-1.6533521634581332,-1.1426759937070714
2022-02-04,1.12,2.12,-3.45,-1.6489365797387734,-0.7814075450208908
2022-02-07,-2.6,3.24,-5.47,-1.6444174732289614,-1.0563857591482704
2022-02-08,-2.94,1.98,-4.32,-1.640121556684656,1.0974184954394053
2022-02-09,-1.49,1.91,-5.8,-1.6357055595772685,-1.5933027741808106
2022-02-10,-0.91,3.09,-4.42,-1.6313139965429615,-0.0239710416714144
2022-02-11,1.0,3.06,-6.12,-1.62694744176582,-0.6955008226156844
2022-02-14,-1.56,-0.7,-1.87,-1.622641558723397,-0.045447722272716
2022-02-15,-4.11,1.94,-5.98,-1.618155902735965,1.0249346984100125
2022-02-16,-3.37,2.17,-5.87,-1.6136526481036837,-1.39541050292596
2022-02-17,-3.71,-1.54,-5.65,-1.609148756731058,0.1144768457762619
2022-02-18,-1.28,1.11,-3.38,-1.604599807718477,-0.923690554004514
2022-02-21,-0.47,0.12,-3.12,-1.6000353048222542,-1.2255146188835204
2022-02-22,-1.6,1.21,-2.87,-1.5957525165690951,-1.1894644764456213
2022-02-23,-1.39,3.52,-5.18,-1.5912312829637358,0.7131393175375443
2022-02-24,-0.61,3.26,-5.62,-1.586750093956311,-0.6985689198444417
2022-02-25,-2.0,1.71,-5.98,-1.5822698992429272,-0.3522574451484533
2022-02-28,-3.33,1.24,-6.43,-1.5778160671722985,0.5858132825441134
2022-03-01,-2.71,1.82,-3.11,-1.573400323349017,0.3729640372990706
2022-03-02,-4.18,2.94,-4.49,-1.568888291834658,-0.1792934638772564
2022-03-03,0.17,1.21,-6.06,-1.5645109454485568,-0.9593571842888184
2022-03-04,-1.68,0.85,-2.4,-1.5599475700059695,-0.0243545538250091
2022-03-07,0.78,3.12,-4.29,-1.5555271173957186,0.3898385720572361
2022-03-08,-1.15,1.67,-6.26,-1.5512445078331552,1.3018304733053652
2022-03-09,-3.93,1.33,-7.0,-1.5467695593501047,-0.8650131945045292
2022-03-10,1.47,5.85,-5.74,-1.542409806438393,1.000773432733548
2022-03-11,-1.3,-0.29,-3.96,-1.5380519103640076,-1.3524571417233568
2022-03-14,-0.41,1.86,-3.23,-1.5335259559553194,0.941329048926374
2022-03-15,-3.98,2.9,-6.03,-1.5289775965061805,0.5512971887205929
2022-03-16,-1.67,3.07,-4.51,-1.5245224389895855,1.450249676746503
2022-03-17,-1.06,2.82,-6.49,-1.5202372864891636,0.4841825618415253
2022-03-18,-0.14,-0.12,-4.16,-1.51572493910054,-0.0868670348609405
2022-03-21,-0.72,0.1,-2.99,-1.511288581254295,-1.5077795639291989
2022-03-22,0.94,2.81,-5.19,-1.506700612599627,-1.0126653736384776
2022-03-23,0.85,1.74,-3.44,-1.5020600591187838,-0.9697120124358746
2022-03-24,-4.33,0.36,-6.89,-1.4977294944683397,-0.7564792550372371
2022-03-25,-4.63,2.27,-7.99,-1.493043805231458,0.7173579512270857
2022-03-28,2.35,4.82,-3.78,-1.4887180611810378,1.1978986796812092
