Date,Open,High,Low,Close,Volume
2022-01-11,-5.33,1.88,-5.9,-1.7297205910309283,-1.3152564628246737
2022-01-12,-1.63,2.51,-6.17,-1.725309952265474,-0.5858163466876083
2022-01-13,1.92,6.43,-4.86,-1.7209095569650064,-1.5863995554161063
2022-01-14,-5.12,2.81,-5.26,-1.7163460360650924,-1.4866863954814915
2022-01-17,-4.31,2.4,-4.59,-1.711698815911976,0.9804472885930304
2022-01-18,-3.14,-0.46,-5.31,-1.7072637823979964,0.1336524534559955
2022-01-19,-2.86,1.89,-6.62,-1.7027966155492522,0.557049871024513
2022-01-20,-3.85,-0.07,-4.35,-1.6982799103837702,-0.0876340591681299
2022-01-21,-0.96,3.87,-5.58,-1.6939059723575178,0.8067162830146442
2022-01-24,-0.62,1.21,-4.41,-1.689434810919542,-0.8941601181777242
2022-01-25,0.23,0.62,-2.53,-1.6848329746474948,0.6000032322271162
2022-01-26,0.79,3.92,-5.64,-1.680155238913856,-1.431460645363859
2022-01-27,-1.54,1.61,-2.42,-1.675801799579591,1.615159902792212
2022-01-28,-2.15,-1.36,-3.82,-1.6714168107628589,-0.430877436635361
2022-01-31,-2.24,1.86,-5.22,-1.6669904939267437,0.2717168287500773
2022-02-01,1.05,3.86,-3.96,-1.6625587144264038,0.5440104578022942
2022-02-02,0.74,3.83,-4.93,-1.657997052126726,-1.57029204496513
2022-02-03,-2.92,2.99,-7.57,-1.6535291084164137,-0.094537277932834
2022-02-04,-1.86,1.4,-4.15,-1.6489747270564312,0.6774726872532398
2022-02-07,-0.64,1.72,-6.06,-1.6444882541591472,-1.0525506376123237
2022-02-08,-2.38,-0.25,-4.09,-1.6400335091343834,-0.7373036473575035
2022-02-09,1.33,1.62,-1.73,-1.635528714725972,0.1313513805344275
2022-02-10,1.78,2.03,-4.66,-1.6312672210133865,-1.2661669071645556
2022-02-11,2.46,2.61,-1.97,-1.6268315582995518,-1.3808370410893624
2022-02-14,0.07,0.52,-1.89,-1.6223926189041131,-1.140758432939098
2022-02-15,-4.57,2.33,-6.3,-1.618052063818039,0.3254085302533313
2022-02-16,0.41,4.16,-5.05,-1.6134671850933024,-1.332130997582839
2022-02-17,-0.78,0.61,-2.62,-1.609024185448568,0.3135196534918965
2022-02-18,-1.98,1.5,-4.98,-1.6045264353710904,-0.3154402784033648
2022-02-21,-0.85,4.13,-4.62,-1.5999843101435505,0.2414193686160982
2022-02-22,-1.86,2.77,-5.59,-1.595593760769671,-1.6136289183213282
2022-02-23,-2.41,3.25,-4.0,-1.5911034290732675,-0.6076765394425045
2022-02-24,-1.27,2.39,-2.91,-1.5867845919807386,-0.5309741087235702
2022-02-25,-0.26,2.25,-3.15,-1.5822709642629975,-1.1020237054260362
2022-02-28,-1.71,2.23,-4.21,-1.5778554348134095,-0.7794899842529174
2022-03-01,-0.08,3.52,-4.61,-1.573415543411888,0.7733507256519078
2022-03-02,-4.09,2.27,-6.16,-1.568850465840164,-1.2101741327397335
2022-03-03,-1.69,-1.09,-3.55,-1.5642231559244348,-0.2214798007726703
2022-03-04,-2.69,3.02,-4.83,-1.5598225706277984,1.0471784033185032
2022-03-07,-1.94,1.12,-6.72,-1.5554335908049557,-0.5206192805765141
2022-03-08,-1.85,3.05,-6.31,-1.5509071268228125,0.1482259152925931
2022-03-09,-2.91,-1.32,-6.87,-1.5463848523526535,-1.0548517105338917
2022-03-10,-5.51,-0.66,-8.09,-1.542026144928114,0.3353798462467928
2022-03-11,-4.03,-0.56,-8.52,-1.5375633441983163,0.0404590001324903
2022-03-14,-1.85,0.71,-4.9,-1.533100368714878,-0.6740241420143828
2022-03-15,-0.4,1.05,-6.41,-1.5286392043739223,0.0753586061096054
2022-03-16,2.58,3.39,-1.55,-1.5241152543559109,-0.6080600515960992
2022-03-17,-1.58,0.17,-2.02,-1.5195149355896675,1.2151567265929697
2022-03-18,-4.35,-1.08,-6.4,-1.515070834494737,-0.9658768908999278
2022-03-21,1.06,1.47,-1.62,-1.5104454289073836,0.8009636007107241
2022-03-22,-1.29,2.95,-2.85,-1.505991535021521,0.1466918666782144
2022-03-23,-0.43,0.82,-1.86,-1.5013806874075557,-0.6920492132333323
2022-03-24,-1.23,3.55,-1.68,-1.4968778798721076,-0.9743141582790106
2022-03-25,-4.66,-1.36,-4.92,-1.492316023496486,-1.712958566102348
2022-03-28,-4.22,1.23,-8.37,-1.4877666721847291,-1.4322276696710483
2022-03-29,-3.58,2.13,-6.79,-1.483374315869785,1.4122819735406305
2022-03-30,1.18,6.06,-4.45,-1.4788768188445869,0.0347063178285703
2022-03-31,-2.83,3.36,-3.66,-1.4744936961341462,1.2385509679622444
2022-04-01,-4.01,2.92,-6.65,-1.4700379815894706,-0.5881174196091763
2022-04-04,0.81,4.33,-2.92,-1.4656752575918957,-0.4976085513608338
2022-04-05,-4.66,-0.24,-9.22,-1.4612283817444085,-0.3810208566680537
2022-04-06,0.67,1.49,-4.99,-1.4567580600695922,0.7994295520963454
2022-04-07,-2.2,0.18,-2.96,-1.452369344166658,0.0101615399985113
2022-04-08,-2.64,-0.56,-6.24,-1.4479045115136135,-0.1539816617400081
2022-04-11,-0.14,2.4,-3.28,-1.4433678177356668,-0.98658654719404
2022-04-12,1.88,5.5,-5.51,-1.4389903703986768,-0.1873472191027445
2022-04-13,1.67,3.03,-4.02,-1.4344460854011856,-1.0862997071286546
2022-04-14,1.07,2.18,-3.84,-1.4298986443451975,0.1137098214690726
2022-04-15,-1.27,-0.16,-5.66,-1.4255187882298372,-0.6966513590764684
2022-04-18,-1.97,0.04,-3.34,-1.4212873823992231,1.398859048164817
2022-04-19,0.07,3.09,-1.82,-1.4167251432270858,-0.9961743510339068
2022-04-20,-4.17,3.54,-5.57,-1.4122821477755243,-1.5921522377200266
2022-04-21,-2.63,-0.58,-7.0,-1.407817229058112,-0.043146649351148
2022-04-22,-1.32,1.66,-3.75,-1.4031718029507845,0.091082604406987
2022-04-25,-1.95,0.7,-2.1,-1.398668964956441,0.429723836031082
2022-04-26,-0.67,1.3,-6.25,-1.3941625328555396,-0.8872568994130201
2022-04-27,1.81,6.1,-5.55,-1.3896983715450155,-1.571826093579509
2022-04-28,-2.48,1.49,-2.66,-1.385250621356614,-0.1286698596027597
2022-04-29,-0.79,2.99,-2.46,-1.380791366006378,-0.2295335559981584
2022-05-02,-1.08,3.56,-3.54,-1.3763398569319016,1.3915723172465182
2022-05-03,-2.06,3.33,-2.72,-1.3720254445378883,0.8696122762041703
2022-05-04,0.41,0.86,-2.46,-1.367649685431907,-0.874600998344396
2022-05-05,-1.24,3.15,-6.16,-1.363189873014044,-0.3633792976026987
2022-05-06,-2.48,-1.12,-5.05,-1.3585430710033677,-0.6713395569392201
2022-05-09,-1.73,-0.02,-3.12,-1.3542021303911984,1.6519770695373004
