Date,Open,High,Low,Close,Volume
2022-01-11,-4.81,-1.35,-9.51,-1.7295095436739478,-0.7296334042856101
2022-01-12,-0.58,2.71,-3.99,-1.7251087667960707,0.1535950854429185
2022-01-13,-1.98,0.44,-3.93,-1.7207809332758643,-0.0669244028740176
2022-01-14,-3.89,-0.74,-7.02,-1.7161864637968582,-0.1647200020406589
2022-01-17,-3.75,1.24,-4.72,-1.7117615254986758,-0.5106479645830526
2022-01-18,-3.26,0.07,-3.53,-1.707312836719404,0.6421895691225301
2022-01-19,0.61,1.78,-2.89,-1.7030231457587977,1.3731637338739742
2022-01-20,1.61,1.74,-1.89,-1.6986159841710649,0.2479390752272077
2022-01-21,-2.53,2.65,-7.14,-1.694139314718857,-0.971629573203848
2022-01-24,-1.93,0.08,-4.48,-1.689643923683741,-1.1150631186482551
2022-01-25,-2.54,0.34,-5.62,-1.6850353974044334,-1.641625305533739
2022-01-26,-1.2,1.09,-2.78,-1.6805930350448717,-0.8063358350045444
2022-01-27,0.16,1.16,-5.04,-1.676137669172979,-0.1578167832759548
2022-01-28,-3.65,1.43,-6.31,-1.6715368880165873,1.4579199198183963
2022-01-31,-0.48,0.52,-3.19,-1.6669672030986833,-1.4916720534782226
2022-02-01,-3.18,1.3,-5.28,-1.662628025943748,0.6590641038806956
2022-02-02,-1.06,1.44,-2.25,-1.6580337881051643,0.5950175742303855
2022-02-03,1.27,5.24,-2.66,-1.6537122037083996,0.3300106760964674
2022-02-04,0.67,3.33,-1.7,-1.6492052859474675,1.458686944125586
2022-02-07,-4.22,-0.96,-5.16,-1.6446732086393028,1.4003930967791958
2022-02-08,-0.21,1.9,-2.18,-1.6401915928914592,-1.4920555656318173
2022-02-09,0.48,3.04,-2.43,-1.6357602343548514,-0.3227270093216636
2022-02-10,-4.69,-0.56,-6.65,-1.631335313393918,-0.4469849470863372
2022-02-11,-3.57,3.19,-5.45,-1.627091231203255,-1.4168871835272616
2022-02-14,-2.03,0.24,-6.55,-1.622612819456712,1.3789164161778942
2022-02-15,-1.3,-0.13,-4.21,-1.618145024576792,-0.1666375628086322
2022-02-16,-2.53,3.07,-2.95,-1.6135457131745503,-0.2667342348968415
2022-02-17,-4.73,-0.04,-4.8,-1.6091051156987342,-1.2665504193181505
2022-02-18,1.14,2.11,-5.6,-1.6046872492190434,-1.228199203958683
2022-02-21,-1.23,1.98,-6.49,-1.600268141879439,-0.5808306886908775
2022-02-22,-3.12,-0.31,-4.49,-1.595878195790497,1.5392244963804669
2022-02-23,-1.44,3.13,-4.37,-1.5914539355151782,-0.8189917360731686
2022-02-24,-2.22,0.94,-5.67,-1.587081055715628,1.218991848128916
2022-02-25,-0.53,3.97,-5.92,-1.5825613738566893,0.2621290249102105
2022-02-28,0.19,4.73,-3.24,-1.5780608597151915,-0.4849526502922097
2022-03-01,-2.76,-1.17,-5.02,-1.573725808557011,1.4218697773804974
2022-03-02,-0.7,2.78,-3.98,-1.569252475780935,-1.6945499827298038
2022-03-03,-1.21,-0.61,-4.43,-1.5646881016084215,-1.3892743084684451
2022-03-04,0.62,1.11,-3.22,-1.5601287619598143,1.6297333646288092
2022-03-07,0.59,1.26,-2.59,-1.5557567008052149,-1.2040379382822188
