Date,Open,High,Low,Close,Volume
2022-01-11,-1.52,3.42,-3.11,-1.729736051321694,-0.1271358109883811
2022-01-12,-3.15,1.78,-4.23,-1.7253564177801932,0.929440172164939
2022-01-13,-1.93,0.46,-6.04,-1.7209726771541571,0.3142866777990858
2022-01-14,-5.73,2.74,-7.01,-1.7164028037632963,-1.1265684832560952
2022-01-17,-3.37,-0.23,-3.62,-1.7118716390243154,-1.4429660099716992
2022-01-18,-2.02,-0.02,-3.88,-1.7072432650675242,-0.5140995739654047
2022-01-19,-5.61,1.74,-10.36,-1.7029227734885768,-0.5980887356026378
2022-01-20,-0.15,1.81,-5.25,-1.6983053461058817,-1.4671272756481637
2022-01-21,-1.49,-0.01,-4.35,-1.6939107547378822,0.7089206838480029
2022-01-24,1.33,1.42,-5.89,-1.6895633158606147,1.3079666677628798
2022-01-25,-0.53,3.21,-1.92,-1.685076075031421,0.8642431060538449
2022-01-26,-1.56,-0.79,-3.57,-1.680777257155083,-0.2563794067497854
2022-01-27,-3.24,1.09,-5.07,-1.6762156292369164,-1.047181467461998
2022-01-28,-2.94,-0.56,-7.16,-1.6717353731730025,0.5129459733611258
2022-01-31,-0.24,2.7,-2.23,-1.6673333053648451,0.6256985465179592
2022-02-01,-1.4,1.39,-2.88,-1.662778921953816,-1.3033675860632388
2022-02-02,-0.1,3.92,-3.46,-1.658326129213139,0.8799671043512264
2022-02-03,-3.86,2.41,-8.74,-1.6538580726481078,0.3388314556291448
2022-02-04,-4.39,0.41,-8.49,-1.6493371591078096,-0.4903218204425351
2022-02-07,0.58,4.22,-6.63,-1.6449285860475356,0.9658738267564329
2022-02-08,-5.38,2.47,-9.94,-1.640557923950244,0.3265590667141154
2022-02-09,0.5,3.18,-5.45,-1.6361046797539538,-1.606725699556624
2022-02-10,-4.33,-0.15,-5.59,-1.631760482358818,0.9513003649198354
2022-02-11,-4.32,-1.51,-6.59,-1.6273340232874531,0.4826485132271467
2022-02-14,-1.63,-0.69,-4.34,-1.6229585494939114,-0.405182122344518
2022-02-15,0.07,4.47,-3.0,-1.6185215072392654,-0.3760351986713229
2022-02-16,-5.14,2.36,-6.87,-1.614136705745194,1.416500607230172
2022-02-17,-1.01,2.97,-3.16,-1.6097022670500016,1.2749846225537382
2022-02-18,-2.96,0.14,-3.8,-1.6051456197917089,0.4174514471160525
2022-02-21,0.79,5.02,-5.59,-1.6007470281723326,-1.3946434786187707
2022-02-22,-3.65,2.42,-4.83,-1.5962478217000549,-1.3677976278671435
2022-02-23,-1.72,-0.98,-3.15,-1.591944439521337,-0.0155337742923316
2022-02-24,-1.05,1.75,-3.35,-1.5875089989053597,0.455419150321925
2022-02-25,-4.8,-1.32,-6.25,-1.583117773327615,1.3102677406844478
2022-02-28,1.8,4.49,-4.95,-1.5786477183159404,-0.1877307312563392
2022-03-01,-1.69,1.76,-1.94,-1.5742321627835865,-1.257729639785473
2022-03-02,-3.54,1.6,-4.78,-1.569690078578731,1.1158270788119495
2022-03-03,-0.58,2.58,-3.24,-1.5652568042177093,-1.08591619497506
2022-03-04,-0.86,-0.59,-5.99,-1.5606914559568963,-1.6715392535141236
2022-03-07,-2.31,2.76,-2.62,-1.5564133854254936,-0.041996112890364
2022-03-08,-1.16,-0.25,-5.35,-1.5519449014832434,-0.2548453581354067
2022-03-09,-1.54,1.58,-3.93,-1.5474680140971884,-0.0278061632073611
2022-03-10,-1.78,0.13,-1.88,-1.5430865974308936,-1.1994357924390828
2022-03-11,-2.04,0.8,-5.61,-1.538621606594901,0.2847562419722961
2022-03-14,-1.16,3.09,-2.57,-1.534113657940323,-1.4544713745795397
2022-03-15,0.08,0.75,-5.65,-1.5295517074869274,-1.3900413327756345
2022-03-16,-5.22,-0.57,-10.14,-1.5251123035427088,-0.0166843107531156
2022-03-17,-0.57,3.06,-4.9,-1.5206866441530706,-1.7098904688735903
2022-03-18,-3.01,0.21,-4.09,-1.5162754538642482,1.088214203753133
2022-03-21,-2.17,1.17,-6.3,-1.5118061170243424,-0.9493858682953568
2022-03-22,-1.15,1.84,-3.41,-1.5074247862279688,0.8561893508283568
2022-03-23,-6.3,0.63,-10.15,-1.5028928764770766,0.8949240783414186
2022-03-24,-1.77,1.06,-4.23,-1.49857290290749,-1.346320947265842
2022-03-25,-1.51,2.22,-1.93,-1.4941137817307322,-0.2690353078184095
2022-03-28,2.53,3.59,-4.83,-1.4897720832735832,1.0947339103642426
2022-03-29,-0.16,4.47,-1.75,-1.485311483170538,1.5557155189850378
2022-03-30,-1.75,1.78,-4.24,-1.4807744014601951,0.4220535929591886
2022-03-31,-0.08,1.61,-3.17,-1.476292988404433,1.3796834404850835
2022-04-01,-2.36,-0.91,-2.51,-1.4718819157005674,-0.4404652404752278
2022-04-04,-1.92,1.34,-6.74,-1.467353029956603,-0.0707595244099643
2022-04-05,3.1,4.78,-4.14,-1.463132413965365,0.639888496200962
2022-04-06,-0.1,3.98,-3.54,-1.458673527143981,0.7530245815113902
2022-04-07,-5.78,0.8,-10.14,-1.454282939292506,-0.4496695321614998
2022-04-08,-2.49,3.21,-5.86,-1.4497739128235627,0.5317380688872646
2022-04-11,1.94,3.67,-6.36,-1.4455350238930589,-1.5112311733115509
2022-04-12,-3.47,0.89,-8.15,-1.4411116962032944,0.3035483374984351
2022-04-13,-1.4,-0.65,-1.61,-1.4367042204036626,1.0326049414819056
2022-04-14,-3.25,3.56,-8.06,-1.4321585806183068,-1.1472781395502074
2022-04-15,-3.04,1.22,-6.17,-1.4277644391992084,-1.6086432603245973
2022-04-18,-1.74,2.28,-4.33,-1.423319366246341,0.4807309524591733
2022-04-19,-0.15,3.82,-2.76,-1.4188481310727643,0.7679815555015823
2022-04-20,-3.25,1.97,-4.13,-1.4143853445423726,-1.24353969010247
2022-04-21,-1.67,1.67,-2.8,-1.4099243582573942,-1.6749908628964756
2022-04-22,-3.52,0.84,-5.67,-1.4054539570932278,-0.0178348472138996
2022-04-25,-2.35,0.1,-3.96,-1.4009891126564666,1.4579199198183963
2022-04-26,0.65,1.12,-3.62,-1.3963120014051429,0.9382609516976164
2022-04-27,1.88,3.72,-3.97,-1.3920071881746392,-1.3141059263638897
2022-04-28,-4.95,3.5,-8.76,-1.3876129473612366,-1.1185147280306071
2022-04-29,-1.31,2.17,-3.86,-1.383152258303988,1.5603176648281738
2022-05-02,-3.89,1.45,-7.57,-1.378587983112205,-0.2889779398053325
2022-05-03,-0.11,3.46,-6.3,-1.3740379187955063,0.8473685712956793
2022-05-04,1.08,1.33,-4.65,-1.369480376082454,0.0285701233710555
2022-05-05,0.23,2.51,-4.54,-1.365018638824735,1.6040380503379663
2022-05-06,-3.15,-0.71,-4.04,-1.3604429226182857,-0.6003898085242058
2022-05-09,-2.22,2.93,-6.22,-1.356031553581622,-0.5727769334653895
2022-05-10,-1.16,2.16,-4.78,-1.351484876159727,-0.7131423816810393
2022-05-11,2.31,3.99,-3.72,-1.3470030893766245,1.0314544050211216
2022-05-12,-3.77,-1.23,-7.68,-1.3425197189319595,-0.0293402118217398
2022-05-13,0.38,4.88,-6.04,-1.3381727953407851,0.068838899498496
2022-05-16,0.55,4.21,-4.78,-1.333865986589463,-1.3198586086678097
2022-05-17,0.05,5.02,-4.21,-1.3294270473782936,0.8005800885571294
2022-05-18,-3.47,2.41,-7.0,-1.3249704737243844,-1.6972345678049665
2022-05-19,-1.67,2.79,-5.6,-1.3206057008237355,1.3934898780144918
2022-05-20,1.23,3.32,-5.68,-1.316058136451878,1.1246478583446269
2022-05-23,-0.82,1.31,-5.61,-1.3116667673907845,1.0145798702629565
2022-05-24,-1.53,-0.1,-1.6,-1.3071504832527927,-0.3883075875863524
2022-05-25,1.01,1.67,-2.76,-1.3027118637993405,-1.1449770666286394
2022-05-26,-2.24,1.89,-3.61,-1.2981771744446062,-0.1328884932923011
2022-05-27,-0.87,-0.04,-1.91,-1.2938192269210802,-0.2977987193380099
2022-05-30,-1.26,-0.65,-4.91,-1.2894976542229248,0.1478424031389984
2022-05-31,-2.35,-0.46,-4.89,-1.2849846058551415,-1.6481450121448484
2022-06-01,-1.17,1.08,-6.14,-1.2804435229277704,-1.243923202256065
2022-06-02,-4.74,1.41,-6.32,-1.275950521302052,1.661564873377167
2022-06-03,-2.52,0.24,-4.16,-1.271564518982313,-0.1351895662138691
2022-06-06,-0.79,2.78,-2.66,-1.2670392265013108,-1.6282023801579255
2022-06-07,0.26,4.87,-4.98,-1.2625235834631914,-1.6903313490402625
2022-06-08,2.4,5.2,-1.86,-1.258160628826014,0.4937703656813921
2022-06-09,-2.96,3.42,-4.6,-1.253655638033606,-1.0318409813182112
2022-06-10,-3.48,3.66,-5.53,-1.249178016763823,1.6642494584523295
2022-06-13,-1.98,-0.38,-4.06,-1.244703771700762,1.6795899445961169
2022-06-14,-1.24,-0.43,-2.81,-1.2403623847865215,-0.175074830187715
2022-06-15,-0.9,1.34,-5.71,-1.2358240107827574,1.651210045230111
2022-06-16,-0.91,1.44,-5.55,-1.2314075739344588,-0.851206756975121
2022-06-17,0.62,3.64,-4.49,-1.2270005386452416,-0.0834154254785885
2022-06-20,-0.86,-0.11,-2.85,-1.2224950019143386,1.1154435666583549
2022-06-21,0.04,1.87,-3.45,-1.2180496125311413,0.7921428211780467
2022-06-22,-4.04,-0.59,-5.43,-1.21371292884081,0.941329048926374
2022-06-23,0.28,3.16,-6.01,-1.2091114579194913,1.1415223931027925
2022-06-24,-1.12,1.69,-4.16,-1.2046261894667885,1.4920525014883224
2022-06-27,-0.83,0.82,-4.28,-1.200163127179438,0.7035515136976775
2022-06-28,1.43,5.08,-1.6,-1.1957010289215415,0.6279996194395272
2022-06-29,1.02,4.55,-1.65,-1.1912347652654494,-0.9313607970764074
2022-06-30,-0.91,1.51,-2.63,-1.1867612474664704,-0.018601871521089
2022-07-01,-0.16,1.72,-2.87,-1.1821944908801347,1.498188695945837
2022-07-04,0.64,1.41,-3.58,-1.177588439751063,-0.5904184925307443
2022-07-05,-1.77,0.92,-4.44,-1.1731494253161914,-0.3265621308576103
2022-07-06,-1.54,3.42,-4.18,-1.1686241320104636,1.209787556442644
2022-07-07,1.48,3.84,-2.85,-1.164103245791415,0.377182670988612
2022-07-08,0.26,0.72,-5.06,-1.1595767883362935,-0.2997162801059833
2022-07-11,-0.91,3.47,-4.66,-1.15499835532575,-0.9666439152071172
2022-07-12,-3.32,3.48,-7.31,-1.1504573913172444,-1.1327046777136098
2022-07-13,-2.65,0.13,-6.18,-1.1459552412678609,1.2884075479295516
2022-07-14,-2.33,0.38,-3.58,-1.1415470128842038,0.9394114881584004
2022-07-15,-0.28,4.59,-4.05,-1.137055035992108,-0.3683649555994295
2022-07-18,-3.32,1.42,-5.01,-1.1326835451674648,-1.0678911237561104
2022-07-19,1.47,2.13,-5.89,-1.128177471193523,0.5432434334951048
2022-07-20,-1.94,-0.54,-2.24,-1.12368406683584,1.346317883122347
2022-07-21,-1.39,-0.22,-5.29,-1.1193470056737524,0.7618453610440676
2022-07-22,1.77,4.03,-5.26,-1.114924012584125,-1.5737436543474823
2022-07-25,-0.35,0.92,-4.06,-1.1105253294303683,-1.4195717686024245
2022-07-26,-0.35,4.13,-4.21,-1.1059976741970687,0.3050823861128137
2022-07-27,-3.33,-0.44,-7.23,-1.1015590403399944,-0.4358630946320917
2022-07-28,0.49,2.65,-4.31,-1.0972212285214824,0.5800606002401932
2022-07-29,-2.85,2.97,-7.44,-1.0927165217251955,-0.3392180319262344
2022-08-01,-3.24,0.88,-7.42,-1.0882331745403058,-0.7595473522659945
2022-08-02,1.34,2.43,-1.96,-1.0837571637762824,-1.4932061020926013
2022-08-03,-0.32,3.69,-6.03,-1.0793907130782965,1.1541782941714167
2022-08-04,-0.6,1.22,-2.91,-1.074873335778736,-0.5677912754686587
2022-08-05,-4.88,1.57,-9.55,-1.07041854200275,0.8684617397433863
2022-08-08,1.13,2.31,-1.23,-1.0659691051943834,1.6573462396876255
2022-08-09,-0.74,1.09,-5.46,-1.061616542822998,1.732898133945776
2022-08-10,-2.53,-0.61,-4.88,-1.0572607556194682,-0.7656835467235092
2022-08-11,-2.84,-0.01,-5.65,-1.052429790699489,0.504508705982043
2022-08-12,2.37,7.26,-5.89,-1.048067871622168,1.3152533986811787
2022-08-15,-0.5,2.41,-1.56,-1.0437911434363485,-0.6828449215470602
2022-08-16,0.62,5.3,-3.58,-1.0393606692921848,1.1522607334034431
2022-08-17,0.57,1.53,-3.01,-1.0349127863197494,-1.6765249115108545
2022-08-18,-1.66,0.61,-5.59,-1.0305297691853574,1.6251312187856732
2022-08-19,0.96,4.37,-4.96,-1.0261382582541645,-1.1434430180142607
2022-08-22,-4.64,1.12,-7.1,-1.0216839756659044,0.6203293763676337
2022-08-23,-2.69,1.17,-5.08,-1.0171865382840362,-1.0786294640567613
2022-08-24,-4.88,1.05,-8.72,-1.0128466627738095,-0.4968415270536445
2022-08-25,-2.33,2.01,-5.16,-1.0084171012050296,1.1403718566420085
2022-08-26,-4.64,3.36,-9.08,-1.003952364647389,0.1792903997337614
2022-08-29,-0.06,2.88,-4.09,-0.999508810713894,1.655812191073247
2022-08-30,0.93,1.82,-5.32,-0.9951052358524258,0.1677850351259213
2022-08-31,-2.47,-0.42,-6.54,-0.990731878340442,1.1307840528021416
2022-09-01,2.81,6.51,-5.35,-0.9861125192579742,0.9133326617139628
2022-09-02,-2.1,-0.06,-3.11,-0.9818563110779164,-0.0297237239753345
2022-09-05,1.71,6.53,-1.14,-0.977299858457222,-1.312571877749511
2022-09-06,1.09,4.36,-4.49,-0.9729369888690492,0.7027844893904882
2022-09-07,-0.57,3.44,-1.93,-0.9684506334053316,-1.193299597981568
2022-09-08,-0.78,0.27,-5.18,-0.9639787565960662,1.3892712443249502
2022-09-09,1.51,2.36,-2.41,-0.9596066854330374,0.4826485132271467
2022-09-12,-0.42,3.18,-5.23,-0.9551589603924592,0.0588675835050346
2022-09-13,-0.46,3.26,-3.12,-0.950729530627744,-0.2843757939621964
2022-09-14,-1.48,1.26,-6.43,-0.9462621632985758,-0.3277126673183943
2022-09-15,-1.51,-0.15,-6.13,-0.941682795038743,0.2763189745932134
2022-09-16,-1.66,-0.53,-4.07,-0.9370908398975988,-0.6686549718640573
2022-09-19,-4.15,3.97,-6.28,-0.9326944672046412,1.6937798942791196
2022-09-20,-1.99,0.61,-5.52,-0.92819869911588,1.5319377654621682
2022-09-21,0.0,0.71,-5.45,-0.9236428428002756,-0.3054689624099033
2022-09-22,3.34,7.9,-4.31,-0.9192166203731674,-1.3459374351122473
2022-09-23,-0.92,-0.72,-2.24,-0.914698184196586,-1.530790293144879
