Date,Open,High,Low,Close,Volume
2022-01-11,0.11,2.23,-4.83,-1.7295226185631467,-0.4895547961353457
2022-01-12,-3.35,-0.35,-6.22,-1.7251293914538064,-0.0235875295178197
2022-01-13,-1.85,2.19,-5.46,-1.7206519040016348,0.2000000560278737
2022-01-14,-2.53,-0.68,-4.14,-1.7162261214169872,-0.8937766060241296
2022-01-17,-0.05,2.22,-4.38,-1.7118613020815965,0.1574302069788652
2022-01-18,-3.29,-1.69,-6.66,-1.707288885072337,0.666734346952589
2022-01-19,-3.17,3.27,-6.11,-1.7027192908399382,0.1378710871455369
2022-01-20,-0.27,2.77,-4.35,-1.6983855684017437,0.7284798036813311
2022-01-21,-0.8,1.64,-2.52,-1.6939328490280132,0.3484192594690116
2022-01-24,-1.87,3.2,-5.28,-1.6894164296370782,0.1930968372631696
2022-01-25,1.13,4.08,-2.53,-1.6847799119406788,-0.3227270093216636
2022-01-26,-1.88,1.51,-4.41,-1.680320567218298,0.1313513805344275
2022-01-27,-2.65,-0.96,-4.77,-1.6757785993847565,-0.0212864565962517
2022-01-28,-0.05,2.64,-3.97,-1.6713466545207318,0.5551323102565396
2022-01-31,1.57,6.41,-5.09,-1.6668412318065098,-0.7909953488607576
2022-02-01,-1.37,3.04,-5.6,-1.6622958336741414,-0.2828417453478177
2022-02-02,-2.15,2.12,-6.31,-1.6577997869080614,-1.6189980884716535
2022-02-03,-6.01,1.24,-10.51,-1.6533325150708402,-0.0028778732237075
2022-02-04,-3.06,1.13,-3.22,-1.6487812145085254,-1.662718473981446
2022-02-07,-5.47,0.21,-7.6,-1.6441942267372849,0.6686519077205624
2022-02-08,2.66,7.08,-5.89,-1.6397158758417532,-0.5252214264196502
2022-02-09,-1.17,0.66,-4.67,-1.63515876279599,-0.662135265252948
2022-02-10,1.57,5.65,-2.13,-1.6307439797085288,-1.4464176193540512
2022-02-11,-0.97,1.15,-1.9,-1.626314650247839,1.5177478157791653
2022-02-14,-3.27,0.66,-6.47,-1.6217097156427212,-0.019752407981873
2022-02-15,0.08,3.43,-2.15,-1.6175039687555883,1.185242778612585
2022-02-16,-0.05,2.57,-1.82,-1.6130603603296003,-0.6395080481908623
2022-02-17,-1.17,-1.13,-5.8,-1.6085761214269387,0.6287666437467165
2022-02-18,-4.34,-1.13,-9.03,-1.6042151061844223,1.0337554779426896
2022-02-21,-1.3,2.4,-2.63,-1.5996541013893149,-1.6216826735468162
2022-02-22,-1.13,-0.31,-3.48,-1.5951934999561188,-0.5892679560699603
2022-02-23,-1.92,1.12,-6.0,-1.590664911300117,-0.9490023561417622
2022-02-24,2.03,4.51,-3.54,-1.5860652246072564,0.6448741541976928
2022-02-25,0.5,0.56,-4.3,-1.5814904208665956,-0.4473684592399318
2022-02-28,-4.58,-0.46,-7.43,-1.577056557347218,-1.2285827161122778
2022-03-01,-4.78,1.95,-5.29,-1.572693228326586,-1.1626186256939943
2022-03-02,-3.41,3.39,-4.78,-1.5682644014820477,0.9252215384753976
2022-03-03,-2.21,-0.37,-6.7,-1.5637855159897134,-1.2569626154782836
2022-03-04,-3.4,2.89,-7.87,-1.5594794264644103,1.428005971838012
2022-03-07,-0.45,0.06,-3.06,-1.5548727594480491,0.582745185315356
2022-03-08,-1.39,0.19,-4.44,-1.5503970312310194,1.7187081842627732
2022-03-09,-0.54,3.71,-5.5,-1.54595301311136,0.8669276911290076
2022-03-10,-2.68,0.85,-4.9,-1.5416606825288972,0.7511070207434168
2022-03-11,-3.21,0.26,-6.61,-1.53719461913275,-0.4972250392072391
2022-03-14,-0.0,4.3,-2.65,-1.5327211706386958,-0.9612747450567918
2022-03-15,-3.97,0.99,-5.45,-1.5283311893939866,-0.8477551475927689
2022-03-16,-1.29,3.66,-3.39,-1.5238397180216283,0.3488027716226063
2022-03-17,-1.09,-0.1,-4.01,-1.5193863708235296,0.6533114215767756
2022-03-18,-0.86,1.07,-4.21,-1.515064820648174,-0.7392212081254769
2022-03-21,-1.94,3.38,-5.29,-1.5105388946307758,0.3618421848448251
